id,key,value,type
25765921,crossing,traffic_signals,regular
25765921,highway,traffic_signals,regular
27548693,created_by,YahooApplet 1.0,regular
51083306,highway,turning_circle,regular
51135279,highway,turning_circle,regular
51248305,railway,level_crossing,regular
51273020,highway,turning_circle,regular
51277864,highway,turning_circle,regular
51328750,highway,turning_circle,regular
55714363,source,Bing,regular
55714363,highway,traffic_signals,regular
55717941,ref,235,regular
55717941,exit_to,Dacono/Fort Lupton,regular
55717941,highway,motorway_junction,regular
55720503,highway,turning_circle,regular
55720768,highway,turning_circle,regular
55722005,source,Bing,regular
55722005,highway,traffic_signals,regular
55722643,ref,39,regular
55722643,highway,motorway_junction,regular
55724174,source,Bing,regular
55724174,highway,traffic_signals,regular
55733079,ref,31,regular
55733079,highway,motorway_junction,regular
55757401,highway,turning_circle,regular
55758808,source,Bing,regular
55758808,highway,traffic_signals,regular
55766337,tmp,tmp,regular
55767366,tmp,tmp,regular
55767380,tmp,tmp,regular
55767396,tmp,tmp,regular
55767410,tmp,tmp,regular
55767427,tmp,tmp,regular
55771118,source,Bing,regular
55771118,highway,stop,regular
55771118,direction,forward,regular
55772178,highway,turning_circle,regular
55775992,tmp,tmp,regular
55779074,highway,stop,regular
55781433,highway,turning_circle,regular
55788144,highway,turning_circle,regular
55793298,highway,turning_circle,regular
55794721,tmp,tmp,regular
55804695,highway,turning_circle,regular
55816814,source,Bing,regular
55816814,highway,crossing,regular
55818516,tmp,tmp,regular
55818531,tmp,tmp,regular
55819564,highway,turning_circle,regular
55825454,tmp,tmp,regular
55825967,tmp,tmp,regular
55825978,tmp,tmp,regular
55825993,tmp,tmp,regular
55827016,source,Bing,regular
55827016,highway,turning_circle,regular
55828973,highway,turning_circle,regular
55834514,highway,turning_circle,regular
55836417,railway,level_crossing,regular
55837943,highway,turning_circle,regular
55839152,tmp,tmp,regular
55842602,tmp,tmp,regular
55842621,highway,turning_circle,regular
55845085,noexit,yes,regular
55845085,source,Bing,regular
55845494,tmp,tmp,regular
55846172,source,Bing,regular
55846172,highway,stop,regular
55846172,direction,forward,regular
55846409,highway,turning_circle,regular
55847524,tmp,tmp,regular
55852033,highway,turning_circle,regular
55859674,tmp,tmp,regular
55863762,highway,turning_circle,regular
